sampleno,treatno,treatname,treatnameshort,fulltreatname,treatnameshort,newtreatname,nh4n mgkg-1,no3n mgkg-1,pH,date,day,timepoint,mineralisensmallsd
300,2,S + WWTP AD pF2,sWWTP AD,Soil + WWTP AD pF2,WWTP AD,S-AD,6.71,524.14,5.32,12:00:00,160,8,0.364653883
301,3,S + WWTP dry pF2,sWWTP dry,Soil + WWTP dry pF2,WWTP dry,S-FD,3.84,436.18,5.51,12:00:00,160,8,0.416806495
302,3,S + WWTP dry pF2,sWWTP dry,Soil + WWTP dry pF2,WWTP dry,S-FD,3.82,424.61,5.55,12:00:00,160,8,0.403482156
303,3,S + WWTP dry pF2,sWWTP dry,Soil + WWTP dry pF2,WWTP dry,S-FD,3.95,451.46,5.45,12:00:00,160,8,0.434488154
304,4,S + 70 pF2,s70,Soil + 70C pF2,70C,S-LD70,3.97,342.17,5.57,12:00:00,160,8,0.275710549
305,4,S + 70 pF2,s70,Soil + 70C pF2,70C,S-LD70,3.07,344.27,5.61,12:00:00,160,8,0.277235852
306,4,S + 70 pF2,s70,Soil + 70C pF2,70C,S-LD70,3.6,353.12,5.69,12:00:00,160,8,0.289226744
307,5,S + 130 pF2,s130,Soil + 130C pF2,130C,S-LD130,4.19,389.13,5.47,12:00:00,160,8,0.362046481
308,5,S + 130 pF2,s130,Soil + 130C pF2,130C,S-LD130,3.67,387.88,5.51,12:00:00,160,8,0.35986242
309,5,S + 130 pF2,s130,Soil + 130C pF2,130C,S-LD130,4.07,397.47,5.43,12:00:00,160,8,0.372175527
310,6,S + 190 pF2,s190,Soil + 190C pF2,190C,S-LD190,1.88,298.54,5.8,12:00:00,160,8,0.305477999
311,6,S + 190 pF2,s190,Soil + 190C pF2,190C,S-LD190,3.05,301.34,5.84,12:00:00,160,8,0.309987756
312,6,S + 190 pF2,s190,Soil + 190C pF2,190C,S-LD190,3.26,291.55,5.84,12:00:00,160,8,0.299115337
313,7,S + 250 pF2,s250,Soil + 250C pF2,250C,S-LD250,3.76,239.21,6.01,12:00:00,160,8,0.238540612
314,7,S + 250 pF2,s250,Soil + 250C pF2,250C,S-LD250,1.1,244.54,5.97,12:00:00,160,8,0.241550795
315,7,S + 250 pF2,s250,Soil + 250C pF2,250C,S-LD250,1.86,195.95,6.26,12:00:00,160,8,0.187393922
316,8,S pF1,S,Soil pF1,S,C,5.82,0.96,NA,12:00:00,160,8,
317,8,S pF1,S,Soil pF1,S,C,7.09,0.56,NA,12:00:00,160,8,
318,8,S pF1,S,Soil pF1,S,C,3.01,1.27,NA,12:00:00,160,8,
319,9,S + WWTP AD pF1,sWWTP AD,Soil + WWTP AD pF1,WWTP AD,S-AD,3.7,1.96,NA,12:00:00,160,8,-0.194689238
320,9,S + WWTP AD pF1,sWWTP AD,Soil + WWTP AD pF1,WWTP AD,S-AD,35.91,1.28,NA,12:00:00,160,8,-0.161107024
321,9,S + WWTP AD pF1,sWWTP AD,Soil + WWTP AD pF1,WWTP AD,S-AD,1.51,156.12,NA,12:00:00,160,8,-0.03284141
322,10,S + WWTP dry pF1,sWWTP dry,Soil + WWTP dry pF1,WWTP dry,S-FD,1.05,246.92,NA,12:00:00,160,8,0.196105941
323,10,S + WWTP dry pF1,sWWTP dry,Soil + WWTP dry pF1,WWTP dry,S-FD,58.42,0.24,NA,12:00:00,160,8,-0.021444947
324,10,S + WWTP dry pF1,sWWTP dry,Soil + WWTP dry pF1,WWTP dry,S-FD,53.58,0.28,NA,12:00:00,160,8,-0.026959081
325,11,S + 70 pF1,s70,Soil + 70C pF1,70C,S-LD70,31.33,0.49,NA,12:00:00,160,8,-0.126080982
326,11,S + 70 pF1,s70,Soil + 70C pF1,70C,S-LD70,1.65,259.94,NA,12:00:00,160,8,0.167629257
327,11,S + 70 pF1,s70,Soil + 70C pF1,70C,S-LD70,51.46,0.25,NA,12:00:00,160,8,-0.100645849
328,12,S + 130 pF1,s130,Soil + 130C pF1,130C,S-LD130,0.29,27.43,NA,12:00:00,160,8,-0.088886697
329,12,S + 130 pF1,s130,Soil + 130C pF1,130C,S-LD130,0.42,194.32,NA,12:00:00,160,8,0.11710512
330,12,S + 130 pF1,s130,Soil + 130C pF1,130C,S-LD130,4.02,1.95,NA,12:00:00,160,8,-0.115728742
331,13,S + 190 pF1,s190,Soil + 190C pF1,190C,S-LD190,30.74,-0.01,NA,12:00:00,160,8,-0.000442096
332,13,S + 190 pF1,s190,Soil + 190C pF1,190C,S-LD190,23.73,0.25,NA,12:00:00,160,8,-0.008098909
333,13,S + 190 pF1,s190,Soil + 190C pF1,190C,S-LD190,30.54,0.1,NA,12:00:00,160,8,-0.000550716
334,14,S + 250 pF1,s250,Soil + 250C pF1,250C,S-LD250,23.8,-0.2,NA,12:00:00,160,8,-0.00990838
335,14,S + 250 pF1,s250,Soil + 250C pF1,250C,S-LD250,0.39,15.14,NA,12:00:00,160,8,-0.019040407
336,14,S + 250 pF1,s250,Soil + 250C pF1,250C,S-LD250,21.79,0.04,NA,12:00:00,160,8,-0.011913529
